pop,family,garden,ssp,year,julian,long,lat,elev,mat,map,gsp,mtcm,mmin,mtwm,mmax,sday,fday,ffp,dd5,gsdd5,d100,dd0,mmindd0,smrpb,smrsprpb,sprp,smrp,winp
AZW1,AZW-1-4,Eph,t,y11,278,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-5,Eph,t,y11,280,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-6,Eph,t,y11,278,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-7,Eph,t,y11,272,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-7,Eph,t,y11,278,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-8,Eph,t,y11,280,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-1,Maj,t,y11,285,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-2,Maj,t,y11,263,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-3,Maj,t,y11,275,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
AZW1,AZW-1-5,Maj,t,y11,281,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,33,102,92
