STA,Station Name,River Basin,County,X_lon,Y_lat,Elev_ft,Operator,snowdep_D_18
SDF,SAND FLAT,SACRAMENTO R,SISKIYOU,-122.2464,41.3504,6750,US Bureau of Reclamation,1
SDW,SUMMIT MEADOW,WALKER R,MONO,-119.5356,38.3975,9313,Natural Resources Conservation Service,1
SHM,SHIMMY LAKE,TRINITY R,TRINITY,-122.8,41.008,6400,US Bureau of Reclamation,1
SIL,SILVER LAKE,AMERICAN R,EL DORADO,-120.118,38.678,7100,US Bureau of Reclamation,1
SLI,SLIDE CANYON,TUOLUMNE R,TUOLUMNE,-119.43,38.092,9200,CA Dept of Water Resources,1
SLK,SOUTH LAKE,OWENS R,INYO,-118.562,37.176,9600,CA Dept of Water Resources/Snow Surveys,1
SLM,STANISLAUS MEADOW,STANISLAUS R,ALPINE,-119.9373,38.5055,7750,US Bureau of Reclamation,1
SLT,SLATE CREEK,SACRAMENTO R,SHASTA,-122.478,41.045,5700,US Bureau of Reclamation,1
SNM,SNOW MOUNTAIN,PIT R,SHASTA,-121.782,40.778,5950,US Bureau of Reclamation,1
SPS,SONORA PASS BRIDGE,WALKER R,MONO,-119.601,38.318,8750,Natural Resources Conservation Service,1
SPT,SPRATT CREEK,CARSON R,ALPINE,-119.818,38.667,6150,Natural Resources Conservation Service,1
SQV,SQUAW VALLEY GOLD COAST,TRUCKEE R,PLACER,-120.276,39.194,8200,Natural Resources Conservation Service,1
STM,STOUTS MEADOW,MC CLOUD R,SHASTA,-121.938,41.17,5400,US Bureau of Reclamation,1
STR,OSTRANDER LAKE,MERCED R,MARIPOSA,-119.55,37.637,8200,CA Dept of Water Resources,1
SWM,SAWMILL,OWENS R,INYO,-118.562,37.162,10200,CA Dept of Water Resources/Snow Surveys,1
TCC,TAHOE CITY CROSS,LAKE TAHOE,PLACER,-120.154,39.172,6750,Natural Resources Conservation Service,1
TES,TIOGA PASS ENTRY STATION,TUOLUMNE R,TUOLUMNE,-119.257,37.911,9945,CA Dept of Water Resources,1
TK2,TRUCKEE 2,TRUCKEE R,PLACER,-120.194,39.3,6400,Natural Resources Conservation Service,1
TMR,TAMARACK SUMMIT,SAN JOAQUIN R,FRESNO,-119.2,37.165,7550,US Bureau of Reclamation,1
TNY,TENAYA LAKE,MERCED R,MARIPOSA,-119.448,37.838,8150,CA Dept of Water Resources,1
TUM,TUOLUMNE MEADOWS,TUOLUMNE R,TUOLUMNE,-119.35,37.873,8600,CA Dept of Water Resources,1
UBC,UPPER BURNT CORRAL,KINGS R,FRESNO,-118.937,37.183,9700,CA Dept of Water Resources/Snow Surveys,1
VLC,VOLCANIC KNOB,SAN JOAQUIN R,FRESNO,-118.903,37.388,10050,US Bureau of Reclamation,1
VRG,VIRGINIA LAKES RIDGE,WALKER R,MONO,-119.234,38.077,9300,Natural Resources Conservation Service,1
WC3,WARD CREEK 3,LAKE TAHOE,PLACER,-120.22,39.137,6750,Natural Resources Conservation Service,1
WHW,WHITE WOLF,TUOLUMNE R,TUOLUMNE,-119.6516,37.8595,7900,National Park Service,1
