name,league,rank,prev_rank,off,def,spi
Barcelona,Spanish Primera Division,1,1,3.3,0.3,94.5
Paris Saint-Germain,French Ligue 1,2,2,3.2,0.4,92.1
Real Madrid,Spanish Primera Division,3,4,3.5,0.6,91.7
Bayern Munich,German Bundesliga,4,3,3.1,0.5,91.1
Manchester City,Barclays Premier League,5,5,3.1,0.5,90.5
Juventus,Italy Serie A,6,7,2.6,0.4,88.2
Liverpool,Barclays Premier League,7,6,2.9,0.7,86.6
Tottenham Hotspur,Barclays Premier League,8,8,2.6,0.5,86.0
Napoli,Italy Serie A,9,9,2.4,0.5,84.3
Atletico Madrid,Spanish Primera Division,10,10,2.0,0.3,83.7
Borussia Dortmund,German Bundesliga,11,13,2.7,0.8,81.1
Arsenal,Barclays Premier League,12,12,2.7,0.9,80.7
Chelsea,Barclays Premier League,13,11,2.4,0.7,80.4
Manchester United,Barclays Premier League,14,14,2.3,0.7,79.1
FC Porto,Portuguese Liga,15,15,2.3,0.7,78.9
AS Roma,Italy Serie A,16,17,2.1,0.6,77.5
Bayer Leverkusen,German Bundesliga,17,16,2.3,0.8,77.3
AS Monaco,French Ligue 1,18,27,2.3,0.8,76.6
Real Sociedad,Spanish Primera Division,19,19,2.4,0.9,75.8
Eibar,Spanish Primera Division,20,29,2.0,0.6,75.4
Marseille,French Ligue 1,21,20,2.2,0.8,75.3
Lazio,Italy Serie A,22,18,2.4,0.9,75.0
Benfica,Portuguese Liga,23,22,2.1,0.8,75.0
Valencia,Spanish Primera Division,24,25,2.1,0.8,74.7
Internazionale,Italy Serie A,25,23,2.1,0.8,74.6
Lyon,French Ligue 1,26,24,2.2,0.8,74.5
Atalanta,Italy Serie A,27,21,2.1,0.7,74.3
RB Leipzig,German Bundesliga,28,30,2.2,0.8,74.3
Schalke 04,German Bundesliga,29,32,2.1,0.8,73.5
Shakhtar Donetsk,UEFA Champions League,30,31,2.2,0.9,73.4
Celta Vigo,Spanish Primera Division,31,33,2.2,0.9,72.5
Ajax,Dutch Eredivisie,32,28,2.5,1.2,72.5
Athletic Bilbao,Spanish Primera Division,33,26,1.8,0.7,72.4
Sevilla FC,Spanish Primera Division,34,35,2.1,0.9,71.8
Villarreal,Spanish Primera Division,35,34,2.0,0.8,71.3
CSKA Moscow,Russian Premier Liga,36,38,1.8,0.7,71.0
Spartak Moscow,Russian Premier Liga,37,40,2.1,1.0,70.6
Zenit St Petersburg,Russian Premier Liga,38,41,1.8,0.7,70.5
Girona FC,Spanish Primera Division,39,46,1.9,0.8,70.5
Dynamo Kiev,UEFA Europa League,40,42,2.0,0.9,70.2
FC Augsburg,German Bundesliga,41,48,2.0,0.9,70.2
Eintracht Frankfurt,German Bundesliga,42,36,1.9,0.8,70.0
Basel,Swiss Raiffeisen Super League,43,37,2.0,0.9,69.9
TSG Hoffenheim,German Bundesliga,44,47,2.1,1.0,69.7
AC Milan,Italy Serie A,45,53,1.9,0.8,69.7
Getafe,Spanish Primera Division,46,44,1.7,0.7,69.6
Borussia Monchengladbach,German Bundesliga,47,45,2.1,1.0,69.4
Werder Bremen,German Bundesliga,48,50,1.9,0.9,68.6
Sporting CP,Portuguese Liga,49,39,1.9,0.8,68.4
PSV,Dutch Eredivisie,50,43,2.3,1.2,68.2
Lokomotiv Moscow,Russian Premier Liga,51,51,1.7,0.7,68.2
Besiktas,Turkish Turkcell Super Lig,52,62,1.9,1.0,67.6
Leganes,Spanish Primera Division,53,49,1.6,0.7,67.5
FC Salzburg,Austrian T-Mobile Bundesliga,54,54,1.7,0.8,67.0
Fiorentina,Italy Serie A,55,55,1.9,0.9,66.9
Istanbul Basaksehir,Turkish Turkcell Super Lig,56,52,1.9,0.9,66.8
Alavés,Spanish Primera Division,57,57,1.7,0.8,65.9
Espanyol,Spanish Primera Division,58,61,1.6,0.7,65.9
Hertha Berlin,German Bundesliga,59,65,1.8,0.9,65.7
VfL Wolfsburg,German Bundesliga,60,56,1.7,0.9,65.5
Torino,Italy Serie A,61,59,1.8,0.9,65.0
Sampdoria,Italy Serie A,62,60,2.0,1.1,64.9
Leicester City,Barclays Premier League,63,58,1.8,1.0,64.4
Boca Juniors,Argentina Primera Division,64,63,1.6,0.8,64.3
FC Krasnodar,Russian Premier Liga,65,64,1.8,1.0,64.3
